node_id,type,name,country,region,city,capacity_per_day,capacity_unit,base_cost_per_unit,lead_time_days,failure_probability,co2e_per_unit,min_order_qty,is_active,notes,label
PLANT_1,plant,Harbour Brew Co. - Main Brewery (Halifax),Canada,NS,Halifax,38000,liters_beer,0.18,0,0.01,0.22,0,1,Primary plant,critical
PLANT_2,plant,Harbour Brew Co. - Small Batch Plant (Moncton),Canada,NB,Moncton,14000,liters_beer,0.21,0,0.012,0.25,0,1,Secondary plant,critical
WH_1,warehouse,Cold Storage - Halifax,Canada,NS,Halifax,70000,cases,0.04,0,0.02,0.03,0,1,FG + some inputs,critical
WH_2,warehouse,Ambient Warehouse - Moncton,Canada,NB,Moncton,60000,cases,0.035,0,0.02,0.03,0,1,FG + package,critical
DC_1,distribution_center,Atlantic DC - Moncton,Canada,NB,Moncton,90000,cases,0.05,1,0.02,0.04,0,1,Regional DC,critical
DC_2,distribution_center,Quebec DC - Montreal,Canada,QC,Montreal,110000,cases,0.055,2,0.02,0.04,0,1,Regional DC,critical
DC_3,distribution_center,New England DC - Boston,USA,MA,Boston,85000,cases,0.06,2,0.025,0.05,0,1,Cross-border DC,critical
PORT_1,port,Halifax Port / Freight Hub,Canada,NS,Halifax,999999,shipments,0.01,0,0.03,0.02,0,1,External logistics hub,critical
PROD_PILSNER,product,Harbour Pilsner (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_IPA,product,Harbour IPA (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_WHEAT,product,Harbour Wheat (500ml bottle),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_FRUIT_SOUR,product,Harbour Fruit Sour (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_ORANGE_WIT,product,Harbour Orange Wit (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_STOUT,product,Harbour Stout (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_SESSION_IPA,product,Harbour Session IPA (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
PROD_SODA_WATER,product,Harbour Soda Water (355ml can),Canada,NS,Halifax,999999,unit,0,0,0,0,0,1,Finished product,critical
ING_WATER,ingredient,Municipal Water,Canada,QC,Montreal,999999,m3,0.001,0,0.015,0.005,0,1,Component,critical
ING_BARLEY_MALT,ingredient,Barley Malt (Base),Canada,NB,Saint John,999999,kg,0.65,7,0.015,0.03,500,1,Component,critical
ING_WHEAT_MALT,ingredient,Wheat Malt,USA,MA,Boston,999999,kg,0.72,6,0.015,0.03,300,1,Component,critical
ING_ROASTED_MALT,ingredient,Roasted Malt,Canada,ON,Toronto,999999,kg,0.95,8,0.015,0.04,200,1,Component,critical
ING_OATS_FLAKED,ingredient,Flaked Oats,USA,ME,Portland,999999,kg,0.55,7,0.015,0.03,200,1,Component,critical
ING_HOPS_CITRA,ingredient,Citra Hops (Pellet T90),Canada,MB,Winnipeg,999999,kg,7.2,10,0.02,0.08,20,1,Component,critical
ING_HOPS_CASCADE,ingredient,Cascade Hops (Pellet T90),Canada,BC,Vancouver,999999,kg,6.1,9,0.02,0.07,20,1,Component,critical
ING_HOPS_CENTENNIAL,ingredient,Centennial Hops (Pellet),Canada,BC,Vancouver,999999,kg,6.6,9,0.02,0.07,20,1,Component,critical
ING_YEAST_ALE,ingredient,Ale Yeast,USA,WA,Seattle,999999,kg,1.2,5,0.015,0.02,10,1,Component,critical
ING_YEAST_LAGER,ingredient,Lager Yeast,Canada,PE,Charlottetown,999999,kg,1.4,6,0.015,0.02,10,1,Component,critical
ING_FRUIT_PUREE_MANGO,ingredient,Mango Puree,Canada,NB,Saint John,999999,kg,2.3,8,0.015,0.05,50,1,Component,critical
ING_FRUIT_PUREE_BERRY,ingredient,Mixed Berry Puree,Canada,MB,Winnipeg,999999,kg,2.6,8,0.015,0.05,50,1,Component,critical
ING_ORANGE_PEEL,ingredient,Dried Orange Peel,Canada,BC,Vancouver,999999,kg,3.1,12,0.015,0.04,10,1,Component,critical
ING_CORIANDER,ingredient,Coriander Seed,Canada,BC,Vancouver,999999,kg,2.9,12,0.015,0.04,10,1,Component,critical
ING_LACTOSE,ingredient,Lactose Sugar,USA,IL,Chicago,999999,kg,1.1,7,0.015,0.03,100,1,Component,critical
ING_CO2,ingredient,Food-Grade CO2,Canada,PE,Charlottetown,999999,kg,0.8,5,0.015,0.06,50,1,Component,critical
ING_DEXTROSE,ingredient,Dextrose (Brewing Sugar),Canada,QC,Quebec City,999999,kg,0.9,6,0.015,0.03,200,1,Component,critical
PKG_CAN_355,package,355ml Aluminum Can,USA,IL,Chicago,999999,unit,0.09,10,0.015,0.12,2000,1,Component,critical
PKG_BOTTLE_500,package,500ml Glass Bottle,USA,WA,Seattle,999999,unit,0.14,12,0.015,0.18,1500,1,Component,critical
PKG_KEG_20L,package,20L Keg,Canada,NS,Halifax,999999,unit,7.5,20,0.015,1.2,50,1,Component,critical
PKG_LABEL,package,Printed Labels,Canada,NS,Halifax,999999,unit,0.02,4,0.015,0.01,5000,1,Component,critical
PKG_CARTON_24,package,24-pack Carton,USA,MA,Boston,999999,unit,0.18,7,0.015,0.05,800,1,Component,critical
PKG_SIX_PACK_CARRIER,package,6-pack Carrier,USA,CA,San Francisco,999999,unit,0.07,8,0.015,0.03,1000,1,Component,critical
PKG_BOTTLE_CAP,package,Bottle Caps,Canada,PE,Charlottetown,999999,unit,0.01,9,0.015,0.02,5000,1,Component,critical
PKG_SHRINK_WRAP,package,Shrink Wrap Roll,Canada,NB,Moncton,999999,unit,0.06,8,0.015,0.04,500,1,Component,critical
SUP_YEAST_01,supplier,Northeast Yeast Labs (Calgary),Canada,AB,Calgary,999999,orders,0,7,0.022815902,0.02,0,1,yeast,critical
SUP_YEAST_02,supplier,Ontario Yeast Co. (Boston),USA,MA,Boston,999999,orders,0,5,0.02294928,0.02,0,1,yeast,critical
SUP_HOPS_03,supplier,Finger Lakes Hops (Philadelphia),USA,PA,Philadelphia,999999,orders,0,9,0.02588902,0.1,0,1,hops,non-critical
SUP_YEAST_04,supplier,Northeast Yeast Labs (Portland),USA,ME,Portland,999999,orders,0,6,0.016879727,0.02,0,1,yeast,critical
SUP_package_05,supplier,CapCraft (Quebec City),Canada,QC,Quebec City,999999,orders,0,10,0.025888573,0.1,0,1,package,critical
SUP_package_06,supplier,CanCo package (Winnipeg),Canada,MB,Winnipeg,999999,orders,0,11,0.018004919,0.1,0,1,package,critical
SUP_MALT_07,supplier,Atlantic Maltsters (Toronto),Canada,ON,Toronto,999999,orders,0,7,0.018597677,0.06,0,1,malt,critical
SUP_HOPS_08,supplier,Great Lakes Hop Farms (Sydney),Canada,NS,Sydney,999999,orders,0,9,0.025140034,0.1,0,1,hops,critical
SUP_GAS_09,supplier,Atlantic Industrial Gases (Ottawa),Canada,ON,Ottawa,999999,orders,0,5,0.017978645,0.1,0,1,gas,critical
SUP_WATER_10,supplier,Halifax Water Utility (Moncton),Canada,NB,Moncton,999999,orders,0,1,0.011182824,0.02,0,1,water,critical
SUP_SUGAR_11,supplier,Maritime Sugars (Seattle),USA,WA,Seattle,999999,orders,0,8,0.016983756,0.02,0,1,sugar,critical
SUP_package_12,supplier,LabelWorks (Calgary),Canada,AB,Calgary,999999,orders,0,11,0.019368478,0.1,0,1,package,critical
SUP_HOPS_13,supplier,Pacific Northwest Hops (Saint John),Canada,NB,Saint John,999999,orders,0,10,0.028572154,0.1,0,1,hops,critical
SUP_HOPS_14,supplier,Great Lakes Hop Farms (Halifax),Canada,NS,Halifax,999999,orders,0,9,0.021487286,0.1,0,1,hops,critical
SUP_HOPS_15,supplier,Maine Hop Collective (Chicago),USA,IL,Chicago,999999,orders,0,11,0.021118351,0.1,0,1,hops,critical
SUP_FRUIT_16,supplier,Pacific Fruit Processing (Toronto),Canada,ON,Toronto,999999,orders,0,10,0.018221814,0.06,0,1,fruit,critical
SUP_YEAST_17,supplier,Northeast Yeast Labs (Chicago),USA,IL,Chicago,999999,orders,0,7,0.016943448,0.02,0,1,yeast,critical
SUP_GAS_18,supplier,Quebec CO2 Supply (Vancouver),Canada,BC,Vancouver,999999,orders,0,6,0.020113362,0.1,0,1,gas,critical
SUP_FRUIT_19,supplier,Quebec Orchard Co-op (Saint John),Canada,NB,Saint John,999999,orders,0,10,0.021723732,0.06,0,1,fruit,non-critical
SUP_MALT_20,supplier,Maritime Grains Ltd (San Francisco),USA,CA,San Francisco,999999,orders,0,7,0.016793812,0.06,0,1,malt,critical
SUP_MALT_21,supplier,Atlantic Maltsters (Saint John),Canada,NB,Saint John,999999,orders,0,6,0.02238729,0.06,0,1,malt,critical
SUP_package_22,supplier,GlassWorks MTL (Charlottetown),Canada,PE,Charlottetown,999999,orders,0,10,0.019623153,0.1,0,1,package,critical
SUP_HOPS_23,supplier,Finger Lakes Hops (Ottawa),Canada,ON,Ottawa,999999,orders,0,11,0.024106272,0.1,0,1,hops,critical
SUP_package_24,supplier,PrintLab Halifax (Winnipeg),Canada,MB,Winnipeg,999999,orders,0,11,0.022283438,0.1,0,1,package,critical
SUP_MALT_25,supplier,Atlantic Maltsters (Winnipeg),Canada,MB,Winnipeg,999999,orders,0,7,0.02035483,0.06,0,1,malt,non-critical
SUP_FRUIT_26,supplier,Tropical Puree Co. (Calgary),Canada,AB,Calgary,999999,orders,0,8,0.023019389,0.06,0,1,fruit,critical
SUP_SUGAR_27,supplier,Quebec Sugars Inc. (Sydney),Canada,NS,Sydney,999999,orders,0,6,0.019799418,0.02,0,1,sugar,non-critical
SUP_MALT_28,supplier,Quebec Grain Co-op (Vancouver),Canada,BC,Vancouver,999999,orders,0,7,0.019628254,0.06,0,1,malt,critical
SUP_WATER_29,supplier,Moncton Water Works (Boston),USA,MA,Boston,999999,orders,0,2,0.010823343,0.02,0,1,water,critical
SUP_FRUIT_30,supplier,Pacific Fruit Processing (Toronto),Canada,ON,Toronto,999999,orders,0,8,0.018969843,0.06,0,1,fruit,critical
RETAIL_001,customer,Walmart - San Francisco Store #46,USA,CA,San Francisco,837,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_002,customer,Sobeys - Winnipeg Store #704,Canada,MB,Winnipeg,619,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_003,customer,Superstore - Moncton Store #203,Canada,NB,Moncton,234,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_004,customer,Superstore - Saint John Store #76,Canada,NB,Saint John,230,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_005,customer,Whole Foods - Toronto Store #558,Canada,ON,Toronto,686,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_006,customer,IGA - Moncton Store #96,Canada,NB,Moncton,1001,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_007,customer,Target - Toronto Store #614,Canada,ON,Toronto,352,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_008,customer,Costco - San Francisco Store #118,USA,CA,San Francisco,1114,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_009,customer,Target - Charlottetown Store #808,Canada,PE,Charlottetown,332,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_010,customer,Superstore - Charlottetown Store #123,Canada,PE,Charlottetown,253,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_011,customer,Superstore - Calgary Store #391,Canada,AB,Calgary,306,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_012,customer,Whole Foods - San Francisco Store #215,USA,CA,San Francisco,578,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_013,customer,Walmart - Portland Store #15,USA,ME,Portland,462,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_014,customer,Sobeys - Philadelphia Store #459,USA,PA,Philadelphia,459,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_015,customer,Superstore - Boston Store #541,USA,MA,Boston,1019,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_016,customer,Target - Sydney Store #882,Canada,NS,Sydney,522,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_017,customer,Sobeys - Charlottetown Store #707,Canada,PE,Charlottetown,481,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_018,customer,Costco - Halifax Store #371,Canada,NS,Halifax,1005,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_019,customer,Sobeys - Seattle Store #907,USA,WA,Seattle,1200,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_020,customer,Sobeys - Portland Store #335,USA,ME,Portland,649,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_021,customer,IGA - Winnipeg Store #513,Canada,MB,Winnipeg,776,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_022,customer,Loblaws - Quebec City Store #223,Canada,QC,Quebec City,280,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_023,customer,Target - Toronto Store #635,Canada,ON,Toronto,1146,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_024,customer,Loblaws - Toronto Store #200,Canada,ON,Toronto,537,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_025,customer,Superstore - Montreal Store #184,Canada,QC,Montreal,525,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_026,customer,Walmart - Charlottetown Store #738,Canada,PE,Charlottetown,573,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_027,customer,Superstore - Saint John Store #355,Canada,NB,Saint John,1198,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_028,customer,Trader Joe's - Winnipeg Store #789,Canada,MB,Winnipeg,1163,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_029,customer,Walmart - Seattle Store #723,USA,WA,Seattle,754,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_030,customer,Sobeys - Portland Store #695,USA,ME,Portland,765,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_031,customer,IGA - Charlottetown Store #792,Canada,PE,Charlottetown,1053,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_032,customer,Target - Portland Store #744,USA,ME,Portland,203,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_033,customer,Walmart - Ottawa Store #83,Canada,ON,Ottawa,429,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_034,customer,Sobeys - Montreal Store #103,Canada,QC,Montreal,352,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_035,customer,Superstore - Vancouver Store #531,Canada,BC,Vancouver,1043,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_036,customer,Loblaws - Seattle Store #408,USA,WA,Seattle,1109,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_037,customer,Whole Foods - Saint John Store #716,Canada,NB,Saint John,565,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_038,customer,Walmart - Sydney Store #338,Canada,NS,Sydney,1136,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_039,customer,Trader Joe's - Saint John Store #805,Canada,NB,Saint John,1089,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_040,customer,Sobeys - Saint John Store #323,Canada,NB,Saint John,900,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_041,customer,Target - Chicago Store #545,USA,IL,Chicago,1086,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_042,customer,Superstore - Seattle Store #289,USA,WA,Seattle,491,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_043,customer,Target - Toronto Store #706,Canada,ON,Toronto,437,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_044,customer,IGA - Saint John Store #771,Canada,NB,Saint John,815,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_045,customer,IGA - Sydney Store #36,Canada,NS,Sydney,792,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_046,customer,Superstore - Calgary Store #474,Canada,AB,Calgary,337,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_047,customer,Whole Foods - Vancouver Store #147,Canada,BC,Vancouver,1124,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_048,customer,Walmart - Ottawa Store #869,Canada,ON,Ottawa,902,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_049,customer,Whole Foods - Halifax Store #60,Canada,NS,Halifax,1158,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_050,customer,Target - Minneapolis Store #391,USA,MN,Minneapolis,262,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_051,customer,Target - Quebec City Store #457,Canada,QC,Quebec City,847,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_052,customer,Whole Foods - Philadelphia Store #111,USA,PA,Philadelphia,1139,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_053,customer,Superstore - Winnipeg Store #922,Canada,MB,Winnipeg,563,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_054,customer,Target - Charlottetown Store #548,Canada,PE,Charlottetown,390,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_055,customer,Whole Foods - Boston Store #353,USA,MA,Boston,886,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_056,customer,Sobeys - Saint John Store #67,Canada,NB,Saint John,933,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_057,customer,IGA - Philadelphia Store #300,USA,PA,Philadelphia,924,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_058,customer,Loblaws - Sydney Store #46,Canada,NS,Sydney,278,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_059,customer,Target - Charlottetown Store #485,Canada,PE,Charlottetown,1187,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_060,customer,Costco - Montreal Store #869,Canada,QC,Montreal,347,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_061,customer,Whole Foods - Philadelphia Store #956,USA,PA,Philadelphia,794,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_062,customer,Costco - Ottawa Store #861,Canada,ON,Ottawa,588,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_063,customer,Costco - Quebec City Store #302,Canada,QC,Quebec City,626,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_064,customer,Trader Joe's - Saint John Store #106,Canada,NB,Saint John,724,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_065,customer,Metro - Chicago Store #392,USA,IL,Chicago,827,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_066,customer,Whole Foods - Minneapolis Store #24,USA,MN,Minneapolis,402,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_067,customer,Metro - San Francisco Store #963,USA,CA,San Francisco,1071,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_068,customer,Walmart - Halifax Store #485,Canada,NS,Halifax,937,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_069,customer,Metro - Sydney Store #240,Canada,NS,Sydney,211,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_070,customer,Loblaws - Calgary Store #968,Canada,AB,Calgary,478,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_071,customer,IGA - Calgary Store #340,Canada,AB,Calgary,772,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_072,customer,Costco - Boston Store #769,USA,MA,Boston,1195,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_073,customer,Walmart - Halifax Store #29,Canada,NS,Halifax,464,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_074,customer,IGA - San Francisco Store #371,USA,CA,San Francisco,770,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_075,customer,Superstore - Portland Store #732,USA,ME,Portland,618,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_076,customer,Sobeys - New York Store #258,USA,NY,New York,786,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_077,customer,Loblaws - Winnipeg Store #382,Canada,MB,Winnipeg,919,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_078,customer,IGA - Calgary Store #750,Canada,AB,Calgary,727,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_079,customer,Sobeys - Quebec City Store #175,Canada,QC,Quebec City,1197,cases,0,0,0,0,0,1,Demand sink,critical
RETAIL_080,customer,Target - Sydney Store #307,Canada,NS,Sydney,494,cases,0,0,0,0,0,1,Demand sink,critical
SUP_HOPS_BK_01,supplier,Backup Emergency Hop Supplier (Contract Only) (Seattle),USA,WA,Seattle,999999,orders,0,12,0.032,0.1,0,0,hops,critical
SUP_HOPS_BK_02,supplier,Backup European Hop Broker (Air Freight) (New York),USA,NY,New York,999999,orders,0,14,0.032,0.1,0,0,hops,non-critical
SUP_YEAST_BK_01,supplier,Backup Yeast Lab (Rush Orders) (Toronto),Canada,ON,Toronto,999999,orders,0,8,0.025,0.02,0,0,yeast,critical
SUP_CAN_BK_01,supplier,Backup Can Supplier (Spot Buy) (Chicago),USA,IL,Chicago,999999,orders,0,16,0.028,0.12,0,0,package,critical
SUP_BOTTLE_BK_01,supplier,Backup Glass Supplier (Limited Capacity) (Quebec City),Canada,QC,Quebec City,999999,orders,0,18,0.028,0.12,0,0,package,critical
SUP_LABEL_BK_01,supplier,Backup Label Printer (Local) (Halifax),Canada,NS,Halifax,999999,orders,0,6,0.028,0.12,0,0,package,critical
SUP_CARTON_BK_01,supplier,Backup Carton Supplier (Moncton),Canada,NB,Moncton,999999,orders,0,10,0.028,0.12,0,0,package,critical
SUP_FRUIT_BK_01,supplier,Backup Fruit Puree Supplier (Boston),USA,MA,Boston,999999,orders,0,12,0.026,0.06,0,0,fruit,critical
SUP_MALT_BK_01,supplier,Backup Malt Supplier (Rail) (Winnipeg),Canada,MB,Winnipeg,999999,orders,0,14,0.026,0.08,0,0,malt,non-critical
SUP_CO2_BK_01,supplier,Backup CO2 Supplier (Montreal),Canada,QC,Montreal,999999,orders,0,8,0.022,0.08,0,0,gas,critical
SUP_SUGAR_BK_01,supplier,Backup Brewing Sugar Supplier (Ottawa),Canada,ON,Ottawa,999999,orders,0,10,0.022,0.02,0,0,sugar,critical
SUP_PACK_MISC_BK_01,supplier,Backup package Distributor (Philadelphia),USA,PA,Philadelphia,999999,orders,0,15,0.028,0.12,0,0,package,critical
WH_3_BK,warehouse,Backup Overflow Warehouse - Saint John,Canada,NB,Saint John,35000,cases,0.05,1,0.03,0.04,0,0,On Demand,critical
DC_4_BK,distribution_center,Backup Overflow DC - Toronto,Canada,ON,Toronto,65000,cases,0.07,3,0.03,0.06,0,0,3PL Contract,critical
PLANT_3_BK,plant,Backup Harbour Brew Co. - Contract Brew Plant (Montreal),Canada,QC,Montreal,18000,liters_beer,0.26,2,0.025,0.28,0,0,brewing capacity; higher cost; slower ramp,critical
PORT_2_BK,port,Backup Boston Port / Freight Hub,USA,MA,Boston,999999,shipments,0.012,0,0.03,0.03,0,0,import routing option,critical
